name,url,born,teams,first_class
Jitender Tarsemlal Billa,http://www.espncricinfo.com/ci/content/player/279654.html,"December 14, 1986, Raisinghnagar ",Haryana,"{'matches': '11', 'inns': '16', 'not_outs': '8', 'runs': '85', 'highest': '20', 'average': '10.62', 'balls_faced': '228', 'strike_rate': '37.28', 'hundreds': '0', 'fifties': '0', 'boundaries': '9', 'sixes': '0', 'catches_taken': '3', 'stumps': '0'}"
Imraj Thakur,http://www.espncricinfo.com/ci/content/player/391408.html,"February 10, 1982, Srinagar ",Jammu & Kashmir,"{'matches': '8', 'inns': '8', 'not_outs': '0', 'runs': '301', 'highest': '117', 'average': '37.62', 'balls_faced': '449', 'strike_rate': '67.03', 'hundreds': '1', 'fifties': '1', 'boundaries': '33', 'sixes': '6', 'catches_taken': '1', 'stumps': '0'}"
Sunil Jadhav,http://www.espncricinfo.com/ci/content/player/327124.html,"December 21, 1992, Nanded ",Maharashtra,"{'matches': '1', 'inns': '2', 'not_outs': '0', 'runs': '8', 'highest': '4', 'average': '4.00', 'balls_faced': '28', 'strike_rate': '28.57', 'hundreds': '0', 'fifties': '0', 'boundaries': '2', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Shoaib Manager,http://www.espncricinfo.com/ci/content/player/340839.html,"September 13, 1984, Hubli, Karnataka ",Railways,"{'matches': '3', 'inns': '3', 'not_outs': '0', 'runs': '4', 'highest': '2', 'average': '1.33', 'balls_faced': '26', 'strike_rate': '15.38', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '0', 'catches_taken': '2', 'stumps': '0'}"
Manju Nadgoda,http://www.espncricinfo.com/ci/content/player/54264.html,date unknown ,India Women,"{'matches': '1', 'inns': '1', 'not_outs': '0', 'runs': '1', 'highest': '1', 'average': '1.00', 'balls_faced': '13', 'strike_rate': '7.69', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Nadeem Dar,http://www.espncricinfo.com/ci/content/player/625392.html,"June 8, 1990, Srinagar ",Jammu and Kashmir,"{'matches': '2', 'inns': '2', 'not_outs': '0', 'runs': '9', 'highest': '8', 'average': '4.50', 'balls_faced': '11', 'strike_rate': '81.81', 'hundreds': '0', 'fifties': '0', 'boundaries': '2', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Mohammad Sanuth,http://www.espncricinfo.com/ci/content/player/378457.html,"July 25, 1989, Kowdiar, Trivandrum ","Kerala,","{'matches': '3', 'inns': '4', 'not_outs': '1', 'runs': '23', 'highest': '12*', 'average': '7.66', 'balls_faced': '72', 'strike_rate': '31.94', 'hundreds': '0', 'fifties': '0', 'boundaries': '2', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Jayant Yadav,http://www.espncricinfo.com/ci/content/player/447587.html,"January 22, 1990, Delhi ","India,","{'matches': '4', 'inns': '6', 'not_outs': '1', 'runs': '228', 'highest': '104', 'average': '45.60', 'balls_faced': '515', 'strike_rate': '44.27', 'hundreds': '1', 'fifties': '1', 'boundaries': '28', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Joga Trinadh Yadav,http://www.espncricinfo.com/ci/content/player/279560.html,"August 2, 1987, Visakhapatnam ",Andhra,"{'matches': '4', 'inns': '4', 'not_outs': '2', 'runs': '76', 'highest': '28*', 'average': '38.00', 'balls_faced': '102', 'strike_rate': '74.50', 'hundreds': '0', 'fifties': '0', 'boundaries': '4', 'sixes': '0', 'catches_taken': '2', 'stumps': '0'}"
Ashwin Yadav,http://www.espncricinfo.com/ci/content/player/26443.html,"September 10, 1987, Hyderabad, Andhra Pradesh ","Hyderabad (India),","{'matches': '14', 'inns': '19', 'not_outs': '6', 'runs': '120', 'highest': '28*', 'average': '9.23', 'balls_faced': '455', 'strike_rate': '26.37', 'hundreds': '0', 'fifties': '0', 'boundaries': '13', 'sixes': '0', 'catches_taken': '2', 'stumps': '0'}"
Vikrant Yadav,http://www.espncricinfo.com/ci/content/player/271930.html,"December 14, 1982, Udaipur, Rajasthan ",Rajasthan,"{'matches': '4', 'inns': '7', 'not_outs': '3', 'runs': '38', 'highest': '15', 'average': '9.50', 'balls_faced': '141', 'strike_rate': '26.95', 'hundreds': '0', 'fifties': '0', 'boundaries': '3', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Faizan,http://www.espncricinfo.com/ci/content/player/1159792.html,"October 30, 1986, Singtam, Sikkim ",Sikkim,"{'matches': '3', 'inns': '5', 'not_outs': '0', 'runs': '34', 'highest': '27', 'average': '6.80', 'balls_faced': '119', 'strike_rate': '28.57', 'hundreds': '0', 'fifties': '0', 'boundaries': '4', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Srinivas Fadte,http://www.espncricinfo.com/ci/content/player/625382.html,"October 10, 1993, Ponda, Goa ",Goa,"{'matches': '2', 'inns': '3', 'not_outs': '1', 'runs': '48', 'highest': '38*', 'average': '24.00', 'balls_faced': '172', 'strike_rate': '27.90', 'hundreds': '0', 'fifties': '0', 'boundaries': '5', 'sixes': '0', 'catches_taken': '3', 'stumps': '0'}"
G Gurkude,http://www.espncricinfo.com/ci/content/player/290715.html,date unknown ,Maharashtra,"{'matches': '2', 'inns': '2', 'not_outs': '1', 'runs': '27', 'highest': '23*', 'average': '27.00', 'balls_faced': '27', 'strike_rate': '100.00', 'hundreds': '0', 'fifties': '0', 'boundaries': '1', 'sixes': '0', 'catches_taken': '2', 'stumps': '0'}"
Prashant Gupta,http://www.espncricinfo.com/ci/content/player/377536.html,"June 23, 1988, Kanpur, Uttar Pradesh ",Uttar Pradesh,"{'matches': '21', 'inns': '34', 'not_outs': '0', 'runs': '879', 'highest': '144', 'average': '25.85', 'balls_faced': '1932', 'strike_rate': '45.49', 'hundreds': '1', 'fifties': '3', 'boundaries': '120', 'sixes': '6', 'catches_taken': '25', 'stumps': '0'}"
Shyam Gan,http://www.espncricinfo.com/ci/content/player/1126921.html,"October 11, 1998 ",Tripura,"{'matches': '5', 'inns': '5', 'not_outs': '1', 'runs': '93', 'highest': '35', 'average': '23.25', 'balls_faced': '94', 'strike_rate': '98.93', 'hundreds': '0', 'fifties': '0', 'boundaries': '8', 'sixes': '1', 'catches_taken': '2', 'stumps': '0'}"
Saurabh Suresh Gawde,http://www.espncricinfo.com/ci/content/player/279680.html,"September 22, 1987, Mumbai ",Goa,"{'matches': '3', 'inns': '2', 'not_outs': '0', 'runs': '25', 'highest': '22', 'average': '12.50', 'balls_faced': '42', 'strike_rate': '59.52', 'hundreds': '0', 'fifties': '0', 'boundaries': '1', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Gaurav Gambhir,http://www.espncricinfo.com/ci/content/player/389613.html,"November 26, 1987, Chandigarh, Punjab ",Punjab,"{'matches': '2', 'inns': '4', 'not_outs': '1', 'runs': '118', 'highest': '50*', 'average': '39.33', 'balls_faced': '306', 'strike_rate': '38.56', 'hundreds': '0', 'fifties': '1', 'boundaries': '12', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Lagnajit Samal,http://www.espncricinfo.com/ci/content/player/390633.html,"September 29, 1989, Cuttack ",Orissa,"{'matches': '13', 'inns': '23', 'not_outs': '4', 'runs': '339', 'highest': '43', 'average': '17.84', 'balls_faced': '711', 'strike_rate': '47.67', 'hundreds': '0', 'fifties': '0', 'boundaries': '53', 'sixes': '1', 'catches_taken': '4', 'stumps': '0'}"
Ravikant Saini,http://www.espncricinfo.com/ci/content/player/378466.html,"September 27, 1989, Hamirpur, Himachal Pradesh ",Himachal Pradesh,"{'matches': '1', 'inns': '1', 'not_outs': '0', 'runs': '9', 'highest': '9', 'average': '9.00', 'balls_faced': '13', 'strike_rate': '69.23', 'hundreds': '0', 'fifties': '0', 'boundaries': '2', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Mudassar Gani,http://www.espncricinfo.com/ci/content/player/391714.html,date unknown ,Jammu & Kashmir,"{'matches': '1', 'inns': '1', 'not_outs': '1', 'runs': '2', 'highest': '2*', 'average': '-', 'balls_faced': '4', 'strike_rate': '50.00', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Pankaj Saikia,http://www.espncricinfo.com/ci/content/player/340869.html,"November 27, 1986, Dibrugarh, Assam ",Assam,"{'matches': '1', 'inns': '1', 'not_outs': '0', 'runs': '11', 'highest': '11', 'average': '11.00', 'balls_faced': '11', 'strike_rate': '100.00', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '1', 'catches_taken': '0', 'stumps': '0'}"
Vishal Chanprakash Sahni,http://www.espncricinfo.com/ci/content/player/279656.html,"December 3, 1983, Panchkula ",Haryana,"{'matches': '5', 'inns': '8', 'not_outs': '1', 'runs': '236', 'highest': '58', 'average': '33.71', 'balls_faced': '680', 'strike_rate': '34.70', 'hundreds': '0', 'fifties': '2', 'boundaries': '21', 'sixes': '2', 'catches_taken': '1', 'stumps': '0'}"
Adithya B Sagar,http://www.espncricinfo.com/ci/content/player/340530.html,"October 21, 1988, Hubli, Karnataka ",Karnataka,"{'matches': '2', 'inns': '3', 'not_outs': '1', 'runs': '49', 'highest': '29', 'average': '24.50', 'balls_faced': '140', 'strike_rate': '35.00', 'hundreds': '0', 'fifties': '0', 'boundaries': '7', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Hilal Ahmed,http://www.espncricinfo.com/ci/content/player/341228.html,date unknown ,Jammu & Kashmir,"{'matches': '4', 'inns': '4', 'not_outs': '0', 'runs': '41', 'highest': '21', 'average': '10.25', 'balls_faced': '67', 'strike_rate': '61.19', 'hundreds': '0', 'fifties': '0', 'boundaries': '6', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Priyank Huda,http://www.espncricinfo.com/ci/content/player/317295.html,"January 29, 1983, Khidwali ",Haryana,"{'matches': '2', 'inns': '3', 'not_outs': '1', 'runs': '7', 'highest': '5', 'average': '3.50', 'balls_faced': '29', 'strike_rate': '24.13', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Jagannathan Kaushik,http://www.espncricinfo.com/ci/content/player/423814.html,"October 25, 1985, Chennai ","Ruby Trichy Warriors,","{'matches': '16', 'inns': '16', 'not_outs': '4', 'runs': '84', 'highest': '20', 'average': '7.00', 'balls_faced': '312', 'strike_rate': '26.92', 'hundreds': '0', 'fifties': '0', 'boundaries': '6', 'sixes': '2', 'catches_taken': '2', 'stumps': '0'}"
Mohammed Khader,http://www.espncricinfo.com/ci/content/player/320348.html,"November 6, 1987, Hyderabad ",Hyderabad (India),"{'matches': '16', 'inns': '19', 'not_outs': '6', 'runs': '251', 'highest': '35*', 'average': '19.30', 'balls_faced': '691', 'strike_rate': '36.32', 'hundreds': '0', 'fifties': '0', 'boundaries': '36', 'sixes': '1', 'catches_taken': '6', 'stumps': '0'}"
Mohammad Karim,http://www.espncricinfo.com/ci/content/player/324443.html,"September 15, 1987, Delhi, India ",Vidarbha,"{'matches': '3', 'inns': '2', 'not_outs': '1', 'runs': '36', 'highest': '33', 'average': '36.00', 'balls_faced': '60', 'strike_rate': '60.00', 'hundreds': '0', 'fifties': '0', 'boundaries': '3', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Dharshan Kanjania,http://www.espncricinfo.com/ci/content/player/390002.html,"October 15, 1989, Delhi ",Delhi,"{'matches': '1', 'inns': '1', 'not_outs': '1', 'runs': '1', 'highest': '1*', 'average': '-', 'balls_faced': '4', 'strike_rate': '25.00', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Alpesh Kantilal Kamalia,http://www.espncricinfo.com/ci/content/player/279547.html,"June 24, 1986, Ghoghla ",Saurashtra,"{'matches': '2', 'inns': '2', 'not_outs': '1', 'runs': '19', 'highest': '17', 'average': '19.00', 'balls_faced': '26', 'strike_rate': '73.07', 'hundreds': '0', 'fifties': '0', 'boundaries': '1', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Madhu Kamat,http://www.espncricinfo.com/ci/content/player/390620.html,"March 22, 1990, Santa Cruz, Goa ",Goa,"{'matches': '1', 'inns': '-', 'not_outs': '-', 'runs': '-', 'highest': '-', 'average': '-', 'balls_faced': '-', 'strike_rate': '-', 'hundreds': '-', 'fifties': '-', 'boundaries': '-', 'sixes': '-', 'catches_taken': '0', 'stumps': '0'}"
Aryan Juyal,http://www.espncricinfo.com/ci/content/player/1130300.html,"November 11, 2001, Moradabad, Uttar Pradesh ",India Under-19s,"{'matches': '3', 'inns': '3', 'not_outs': '0', 'runs': '97', 'highest': '69', 'average': '32.33', 'balls_faced': '128', 'strike_rate': '75.78', 'hundreds': '0', 'fifties': '1', 'boundaries': '8', 'sixes': '0', 'catches_taken': '1', 'stumps': '1'}"
Jayesh Satish Dongaonkar,http://www.espncricinfo.com/ci/content/player/279553.html,"February 17, 1987, Nagpur ",Vidarbha,"{'matches': '3', 'inns': '5', 'not_outs': '1', 'runs': '154', 'highest': '49', 'average': '38.50', 'balls_faced': '264', 'strike_rate': '58.33', 'hundreds': '0', 'fifties': '0', 'boundaries': '17', 'sixes': '0', 'catches_taken': '3', 'stumps': '0'}"
Ravi Jangid,http://www.espncricinfo.com/ci/content/player/323223.html,"June 3, 1987, Rajasthan ",Vidarbha,"{'matches': '44', 'inns': '69', 'not_outs': '3', 'runs': '1733', 'highest': '110', 'average': '26.25', 'balls_faced': '4380', 'strike_rate': '39.56', 'hundreds': '3', 'fifties': '8', 'boundaries': '216', 'sixes': '7', 'catches_taken': '28', 'stumps': '0'}"
Aditya Jain,http://www.espncricinfo.com/ci/content/player/26507.html,"June 11, 1986, Agra, Uttar Pradesh ",Delhi Under-16s,"{'matches': '16', 'inns': '22', 'not_outs': '2', 'runs': '562', 'highest': '76', 'average': '28.10', 'balls_faced': '1488', 'strike_rate': '37.76', 'hundreds': '0', 'fifties': '4', 'boundaries': '74', 'sixes': '0', 'catches_taken': '11', 'stumps': '0'}"
Rachit Bhatia,http://www.espncricinfo.com/ci/content/player/1163673.html,"September 7, 1997 ",Nagaland,"{'matches': '6', 'inns': '8', 'not_outs': '2', 'runs': '70', 'highest': '22*', 'average': '11.66', 'balls_faced': '164', 'strike_rate': '42.68', 'hundreds': '0', 'fifties': '0', 'boundaries': '11', 'sixes': '1', 'catches_taken': '0', 'stumps': '0'}"
Rehan Khan,http://www.espncricinfo.com/ci/content/player/1159818.html,"January 8, 1990, Kaimur Bhabhuam Bihar ",Bihar,"{'matches': '2', 'inns': '1', 'not_outs': '0', 'runs': '3', 'highest': '3', 'average': '3.00', 'balls_faced': '5', 'strike_rate': '60.00', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Omar Alam,http://www.espncricinfo.com/ci/content/player/390726.html,"March 7, 1985, Srinagar ",Jammu & Kashmir,"{'matches': '4', 'inns': '3', 'not_outs': '1', 'runs': '14', 'highest': '8', 'average': '7.00', 'balls_faced': '24', 'strike_rate': '58.33', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '0', 'catches_taken': '2', 'stumps': '0'}"
RI Thakur,http://www.espncricinfo.com/ci/content/player/1068044.html,"December 15, 1997, Mandi, Himachal Pradesh ",Himachal Pradesh,"{'matches': '2', 'inns': '4', 'not_outs': '0', 'runs': '131', 'highest': '45', 'average': '32.75', 'balls_faced': '185', 'strike_rate': '70.81', 'hundreds': '0', 'fifties': '0', 'boundaries': '22', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Nizar Niyas,http://www.espncricinfo.com/ci/content/player/376107.html,"August 18, 1990, Balaramapuram, Thiruvananthapuram ",Kerala,"{'matches': '9', 'inns': '14', 'not_outs': '4', 'runs': '54', 'highest': '9*', 'average': '5.40', 'balls_faced': '162', 'strike_rate': '33.33', 'hundreds': '0', 'fifties': '0', 'boundaries': '6', 'sixes': '1', 'catches_taken': '5', 'stumps': '0'}"
Ahmed Nizam,http://www.espncricinfo.com/ci/content/player/377403.html,"May 17, 1986, Mumbai ",Jammu & Kashmir,"{'matches': '3', 'inns': '6', 'not_outs': '1', 'runs': '106', 'highest': '33', 'average': '21.20', 'balls_faced': '236', 'strike_rate': '44.91', 'hundreds': '0', 'fifties': '0', 'boundaries': '13', 'sixes': '2', 'catches_taken': '1', 'stumps': '0'}"
Akshdeep Nath,http://www.espncricinfo.com/ci/content/player/500360.html,"May 10, 1993, Lucknow ","Gujarat Lions,","{'matches': '23', 'inns': '37', 'not_outs': '3', 'runs': '1541', 'highest': '194', 'average': '45.32', 'balls_faced': '2839', 'strike_rate': '54.27', 'hundreds': '5', 'fifties': '6', 'boundaries': '188', 'sixes': '10', 'catches_taken': '12', 'stumps': '0'}"
